Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_104,VPWR,li1,53.5900,57.1200,1.799932
FILLER_17_97,VPWR,li1,51.0600,57.1200,1.799933
FILLER_17_91,VPWR,li1,48.0700,57.1200,1.799933
FILLER_17_85,VPWR,li1,45.0800,57.1200,1.799933
FILLER_17_76,VPWR,li1,41.4000,57.1200,1.799935
FILLER_17_70,VPWR,li1,38.4100,57.1200,1.799938
FILLER_17_62,VPWR,li1,34.9600,57.1200,1.799945
FILLER_17_57,VPWR,li1,32.2000,57.1200,1.799949
FILLER_17_49,VPWR,li1,28.7500,57.1200,1.799952
FILLER_17_29,VPWR,li1,19.0900,57.1200,1.799968
FILLER_17_23,VPWR,li1,16.3300,57.1200,1.799967
FILLER_16_106,VPWR,li1,54.7400,57.1200,1.799932
FILLER_16_78,VPWR,li1,42.7800,57.1200,1.799935
FILLER_16_13,VPWR,li1,11.7300,57.1200,1.799966
FILLER_15_104,VPWR,li1,53.5900,51.6800,1.799988
FILLER_15_100,VPWR,li1,52.4400,51.6800,1.799988
FILLER_15_88,VPWR,li1,48.7600,51.6800,1.799988
FILLER_15_69,VPWR,li1,40.0200,51.6800,1.799989
FILLER_15_57,VPWR,li1,34.5000,51.6800,1.799990
FILLER_15_54,VPWR,li1,30.8200,51.6800,1.799990
FILLER_15_46,VPWR,li1,26.9100,51.6800,1.799991
FILLER_15_38,VPWR,li1,24.8400,51.6800,1.799992
FILLER_15_19,VPWR,li1,14.4900,51.6800,1.799989
FILLER_14_99,VPWR,li1,52.4400,51.6800,1.799988
FILLER_14_83,VPWR,li1,43.9300,51.6800,1.799989
FILLER_14_77,VPWR,li1,42.3200,51.6800,1.799989
FILLER_14_65,VPWR,li1,38.1800,51.6800,1.799989
FILLER_14_53,VPWR,li1,32.6600,51.6800,1.799990
FILLER_14_41,VPWR,li1,27.1400,51.6800,1.799991
FILLER_14_29,VPWR,li1,21.6200,51.6800,1.799992
FILLER_14_25,VPWR,li1,17.7100,51.6800,1.799990
FILLER_13_106,VPWR,li1,54.7400,46.2400,1.799992
FILLER_13_98,VPWR,li1,52.4400,46.2400,1.799993
FILLER_13_89,VPWR,li1,46.9200,46.2400,1.799993
FILLER_13_81,VPWR,li1,44.6200,46.2400,1.799993
FILLER_13_69,VPWR,li1,40.0200,46.2400,1.799993
FILLER_13_57,VPWR,li1,34.5000,46.2400,1.799994
FILLER_13_53,VPWR,li1,30.5900,46.2400,1.799994
FILLER_13_45,VPWR,li1,28.0600,46.2400,1.799995
FILLER_13_34,VPWR,li1,22.0800,46.2400,1.799995
FILLER_13_22,VPWR,li1,18.4000,46.2400,1.799994
FILLER_12_104,VPWR,li1,53.5900,46.2400,1.799993
FILLER_12_98,VPWR,li1,51.9800,46.2400,1.799993
FILLER_12_83,VPWR,li1,43.9300,46.2400,1.799993
FILLER_12_77,VPWR,li1,42.3200,46.2400,1.799993
FILLER_12_65,VPWR,li1,38.1800,46.2400,1.799994
FILLER_12_53,VPWR,li1,32.6600,46.2400,1.799994
FILLER_12_41,VPWR,li1,27.1400,46.2400,1.799995
FILLER_12_29,VPWR,li1,21.6200,46.2400,1.799995
FILLER_12_16,VPWR,li1,15.6400,46.2400,1.799993
FILLER_11_101,VPWR,li1,52.6700,40.8000,1.799955
FILLER_11_77,VPWR,li1,41.6300,40.8000,1.799964
FILLER_11_69,VPWR,li1,39.1000,40.8000,1.799966
FILLER_11_57,VPWR,li1,34.5000,40.8000,1.799971
FILLER_11_52,VPWR,li1,30.3600,40.8000,1.799975
FILLER_11_44,VPWR,li1,25.9900,40.8000,1.799981
FILLER_11_38,VPWR,li1,24.3800,40.8000,1.799981
FILLER_11_29,VPWR,li1,19.3200,40.8000,1.799984
FILLER_11_21,VPWR,li1,17.0200,40.8000,1.799984
FILLER_11_3,VPWR,li1,7.1300,40.8000,1.799983
FILLER_10_103,VPWR,li1,53.1300,40.8000,1.799955
FILLER_10_97,VPWR,li1,51.5200,40.8000,1.799956
FILLER_10_89,VPWR,li1,46.6900,40.8000,1.799959
FILLER_10_85,VPWR,li1,45.5400,40.8000,1.799962
FILLER_10_83,VPWR,li1,43.9300,40.8000,1.799962
FILLER_10_77,VPWR,li1,42.3200,40.8000,1.799964
FILLER_10_61,VPWR,li1,34.0400,40.8000,1.799971
FILLER_10_49,VPWR,li1,30.8200,40.8000,1.799975
FILLER_9_102,VPWR,li1,52.9000,35.3600,1.799981
FILLER_9_94,VPWR,li1,48.9900,35.3600,1.799983
FILLER_9_88,VPWR,li1,47.3800,35.3600,1.799983
FILLER_9_76,VPWR,li1,43.2400,35.3600,1.799985
FILLER_9_64,VPWR,li1,37.7200,35.3600,1.799987
FILLER_9_55,VPWR,li1,31.0500,35.3600,1.799990
FILLER_9_51,VPWR,li1,29.9000,35.3600,1.799990
FILLER_9_39,VPWR,li1,26.2200,35.3600,1.799991
FILLER_9_27,VPWR,li1,20.7000,35.3600,1.799994
FILLER_9_3,VPWR,li1,7.3600,35.3600,1.799993
FILLER_8_102,VPWR,li1,53.8200,35.3600,1.799981
FILLER_8_93,VPWR,li1,48.7600,35.3600,1.799983
FILLER_8_85,VPWR,li1,46.4600,35.3600,1.799983
FILLER_8_83,VPWR,li1,43.9300,35.3600,1.799985
FILLER_8_77,VPWR,li1,42.3200,35.3600,1.799985
FILLER_8_65,VPWR,li1,38.1800,35.3600,1.799987
FILLER_8_53,VPWR,li1,32.6600,35.3600,1.799989
FILLER_8_41,VPWR,li1,27.1400,35.3600,1.799991
FILLER_8_29,VPWR,li1,21.6200,35.3600,1.799994
FILLER_8_20,VPWR,li1,16.5600,35.3600,1.799993
FILLER_7_101,VPWR,li1,52.6700,29.9200,1.799974
FILLER_7_93,VPWR,li1,50.1400,29.9200,1.799974
FILLER_7_69,VPWR,li1,37.9500,29.9200,1.799980
FILLER_7_57,VPWR,li1,34.5000,29.9200,1.799982
FILLER_7_48,VPWR,li1,29.4400,29.9200,1.799985
FILLER_7_36,VPWR,li1,24.8400,29.9200,1.799989
FILLER_7_24,VPWR,li1,19.3200,29.9200,1.799990
FILLER_7_3,VPWR,li1,7.1300,29.9200,1.799989
FILLER_6_103,VPWR,li1,53.1300,29.9200,1.799974
FILLER_6_99,VPWR,li1,51.9800,29.9200,1.799974
FILLER_6_91,VPWR,li1,47.6100,29.9200,1.799975
FILLER_6_85,VPWR,li1,46.0000,29.9200,1.799975
FILLER_6_78,VPWR,li1,42.7800,29.9200,1.799977
FILLER_6_66,VPWR,li1,38.6400,29.9200,1.799980
FILLER_6_58,VPWR,li1,32.4300,29.9200,1.799984
FILLER_6_54,VPWR,li1,31.2800,29.9200,1.799984
